"ID_BADANIA","NAZWA"
515,"Badanie ucha"
516,"Badania czynnosciowe"
517,"Badanie krwi"
518,"Badanie krwi"
519,"Badanie wzroku"
520,"Badania obrazowe"
521,"Badania endoskopowe"
522,"Badanie ucha"
523,"Badanie wzroku"
524,"Badanie ucha"
525,"Badania endoskopowe"
526,"Badanie wzroku"
527,"Badanie skory"
528,"Badanie krwi"
529,"Badanie ucha"
530,"Badanie wzroku"
531,"Badania obrazowe"
532,"Badanie moczu"
533,"Badania czynnosciowe"
534,"Badania obrazowe"
535,"Badanie ucha"
536,"Badanie moczu"
537,"Badanie moczu"
538,"Badanie wzroku"
539,"Badanie ucha"
540,"Badanie krwi"
541,"Badanie krwi"
542,"Badanie moczu"
543,"Badania obrazowe"
544,"Badania obrazowe"
545,"Badanie skory"
546,"Badania endoskopowe"
547,"Badania obrazowe"
548,"Badanie skory"
549,"Badania endoskopowe"
550,"Badanie wzroku"
551,"Badania obrazowe"
552,"Badanie ucha"
553,"Badanie ucha"
554,"Badanie wzroku"
555,"Badania czynnosciowe"
556,"Badania endoskopowe"
557,"Badanie ucha"
558,"Badanie ucha"
559,"Badanie krwi"
560,"Badania endoskopowe"
561,"Badania endoskopowe"
562,"Badanie wzroku"
563,"Badanie ucha"
564,"Badanie serca"
565,"Badanie wzroku"
566,"Badania obrazowe"
567,"Badanie krwi"
568,"Badania obrazowe"
569,"Badanie krwi"
570,"Badanie wzroku"
571,"Badania czynnosciowe"
572,"Badanie ucha"
573,"Badania endoskopowe"
574,"Badania obrazowe"
575,"Badania czynnosciowe"
576,"Badania endoskopowe"
577,"Badanie wzroku"
578,"Badanie skory"
579,"Badanie wzroku"
580,"Badanie serca"
581,"Badanie moczu"
582,"Badanie moczu"
583,"Badania endoskopowe"
584,"Badanie skory"
585,"Badanie skory"
586,"Badanie wzroku"
587,"Badanie skory"
588,"Badanie ucha"
589,"Badania endoskopowe"
590,"Badania czynnosciowe"
591,"Badanie ucha"
592,"Badanie moczu"
593,"Badanie ucha"
594,"Badania czynnosciowe"
595,"Badania czynnosciowe"
596,"Badanie ucha"
597,"Badania czynnosciowe"
598,"Badanie serca"
599,"Badanie serca"
600,"Badanie serca"
601,"Badania endoskopowe"
602,"Badanie moczu"
603,"Badanie krwi"
604,"Badania obrazowe"
605,"Badania czynnosciowe"
606,"Badania endoskopowe"
607,"Badanie krwi"
608,"Badanie moczu"
609,"Badanie skory"
610,"Badanie skory"
611,"Badania czynnosciowe"
612,"Badania czynnosciowe"
613,"Badanie ucha"
614,"Badanie wzroku"
615,"Badanie ucha"
616,"Badanie skory"
617,"Badanie ucha"
618,"Badanie skory"
619,"Badania czynnosciowe"
620,"Badanie krwi"
621,"Badania obrazowe"
622,"Badanie serca"
623,"Badania obrazowe"
624,"Badanie serca"
625,"Badania czynnosciowe"
626,"Badanie ucha"
627,"Badanie wzroku"
628,"Badanie skory"
629,"Badanie moczu"
630,"Badanie ucha"
631,"Badania czynnosciowe"
632,"Badanie wzroku"
633,"Badania czynnosciowe"
634,"Badanie wzroku"
635,"Badanie skory"
636,"Badanie wzroku"
637,"Badania endoskopowe"
638,"Badanie serca"
639,"Badanie moczu"
640,"Badanie serca"
641,"Badanie ucha"
642,"Badanie ucha"
643,"Badania czynnosciowe"
644,"Badanie serca"
645,"Badanie ucha"
646,"Badanie ucha"
647,"Badanie ucha"
648,"Badanie ucha"
649,"Badania obrazowe"
650,"Badanie moczu"
651,"Badanie serca"
652,"Badania endoskopowe"
653,"Badanie ucha"
654,"Badanie skory"
655,"Badanie ucha"
656,"Badania czynnosciowe"
657,"Badania obrazowe"
658,"Badanie krwi"
659,"Badania obrazowe"
660,"Badania endoskopowe"
661,"Badanie skory"
662,"Badania obrazowe"
663,"Badanie krwi"
664,"Badania endoskopowe"
665,"Badanie skory"
666,"Badania endoskopowe"
667,"Badanie krwi"
668,"Badanie serca"
669,"Badanie serca"
670,"Badanie krwi"
671,"Badanie moczu"
672,"Badanie krwi"
673,"Badanie wzroku"
674,"Badanie skory"
675,"Badanie moczu"
676,"Badania czynnosciowe"
677,"Badanie wzroku"
678,"Badanie krwi"
679,"Badania endoskopowe"
680,"Badanie moczu"
681,"Badanie skory"
682,"Badanie skory"
683,"Badania obrazowe"
684,"Badanie ucha"
685,"Badania czynnosciowe"
686,"Badanie skory"
687,"Badanie serca"
688,"Badanie moczu"
689,"Badania obrazowe"
690,"Badania czynnosciowe"
691,"Badania czynnosciowe"
692,"Badanie moczu"
693,"Badania czynnosciowe"
694,"Badanie wzroku"
695,"Badanie wzroku"
696,"Badanie ucha"
697,"Badanie wzroku"
698,"Badanie krwi"
699,"Badanie skory"
700,"Badanie skory"
701,"Badania czynnosciowe"
702,"Badanie skory"
703,"Badanie wzroku"
704,"Badanie moczu"
705,"Badanie serca"
706,"Badania czynnosciowe"
707,"Badanie krwi"
708,"Badanie ucha"
709,"Badanie skory"
710,"Badanie krwi"
711,"Badania czynnosciowe"
712,"Badania czynnosciowe"
713,"Badania czynnosciowe"
714,"Badania endoskopowe"
715,"Badanie ucha"
716,"Badania endoskopowe"
717,"Badanie skory"
718,"Badanie skory"
719,"Badanie serca"
720,"Badania czynnosciowe"
721,"Badania czynnosciowe"
722,"Badanie moczu"
723,"Badania czynnosciowe"
724,"Badanie skory"
725,"Badania obrazowe"
726,"Badanie moczu"
727,"Badanie ucha"
728,"Badanie serca"
729,"Badanie moczu"
730,"Badanie wzroku"
731,"Badanie skory"
732,"Badanie ucha"
733,"Badania czynnosciowe"
734,"Badania czynnosciowe"
735,"Badanie ucha"
736,"Badanie serca"
737,"Badanie serca"
738,"Badania obrazowe"
739,"Badanie wzroku"
740,"Badania obrazowe"
741,"Badanie serca"
742,"Badania czynnosciowe"
743,"Badanie serca"
744,"Badanie wzroku"
745,"Badanie krwi"
746,"Badanie ucha"
747,"Badania czynnosciowe"
748,"Badania obrazowe"
749,"Badanie wzroku"
750,"Badanie moczu"
751,"Badanie skory"
752,"Badanie wzroku"
753,"Badanie moczu"
754,"Badanie ucha"
755,"Badanie wzroku"
756,"Badania czynnosciowe"
757,"Badanie ucha"
758,"Badanie skory"
759,"Badanie serca"
760,"Badanie ucha"
761,"Badanie serca"
762,"Badanie serca"
763,"Badanie wzroku"
764,"Badanie krwi"
765,"Badanie skory"
766,"Badania czynnosciowe"
767,"Badania endoskopowe"
768,"Badania obrazowe"
769,"Badanie moczu"
770,"Badanie moczu"
771,"Badanie ucha"
772,"Badanie wzroku"
773,"Badanie skory"
774,"Badanie serca"
775,"Badanie ucha"
776,"Badanie skory"
777,"Badanie ucha"
778,"Badania endoskopowe"
779,"Badania obrazowe"
780,"Badanie ucha"
781,"Badania obrazowe"
782,"Badanie serca"
783,"Badania obrazowe"
784,"Badanie skory"
785,"Badanie serca"
786,"Badania endoskopowe"
787,"Badanie ucha"
788,"Badanie serca"
789,"Badanie krwi"
790,"Badanie moczu"
791,"Badanie skory"
792,"Badanie skory"
793,"Badanie skory"
794,"Badanie serca"
795,"Badanie wzroku"
796,"Badanie skory"
797,"Badanie serca"
798,"Badania czynnosciowe"
799,"Badania endoskopowe"
800,"Badanie krwi"
801,"Badanie skory"
802,"Badanie moczu"
803,"Badanie ucha"
804,"Badania czynnosciowe"
805,"Badania czynnosciowe"
806,"Badanie krwi"
807,"Badania endoskopowe"
808,"Badania endoskopowe"
809,"Badanie wzroku"
810,"Badania obrazowe"
811,"Badanie moczu"
812,"Badania obrazowe"
813,"Badanie serca"
814,"Badanie serca"
815,"Badanie krwi"
816,"Badanie skory"
817,"Badanie krwi"
818,"Badanie ucha"
819,"Badanie krwi"
820,"Badanie ucha"
821,"Badanie moczu"
822,"Badania endoskopowe"
823,"Badanie skory"
824,"Badanie skory"
825,"Badania endoskopowe"
826,"Badanie serca"
827,"Badania obrazowe"
828,"Badanie serca"
829,"Badanie wzroku"
830,"Badanie krwi"
831,"Badania obrazowe"
832,"Badanie ucha"
833,"Badania obrazowe"
834,"Badania obrazowe"
835,"Badania endoskopowe"
836,"Badanie skory"
837,"Badanie krwi"
838,"Badania czynnosciowe"
839,"Badanie skory"
840,"Badanie serca"
841,"Badania czynnosciowe"
842,"Badanie skory"
843,"Badanie moczu"
844,"Badania endoskopowe"
845,"Badania endoskopowe"
846,"Badania czynnosciowe"
847,"Badania obrazowe"
848,"Badania endoskopowe"
849,"Badanie ucha"
850,"Badanie ucha"
851,"Badanie krwi"
852,"Badanie moczu"
853,"Badania obrazowe"
854,"Badanie krwi"
855,"Badanie moczu"
856,"Badanie ucha"
857,"Badania endoskopowe"
858,"Badanie skory"
859,"Badanie skory"
860,"Badania czynnosciowe"
861,"Badania endoskopowe"
862,"Badania czynnosciowe"
863,"Badanie skory"
864,"Badania obrazowe"
865,"Badanie moczu"
866,"Badanie moczu"
867,"Badanie moczu"
868,"Badanie krwi"
869,"Badania obrazowe"
870,"Badania czynnosciowe"
871,"Badania czynnosciowe"
872,"Badanie serca"
873,"Badanie wzroku"
874,"Badania czynnosciowe"
875,"Badania obrazowe"
876,"Badanie wzroku"
877,"Badanie krwi"
878,"Badania czynnosciowe"
879,"Badanie krwi"
880,"Badanie skory"
881,"Badania czynnosciowe"
882,"Badania obrazowe"
883,"Badania endoskopowe"
884,"Badanie wzroku"
885,"Badanie serca"
886,"Badanie moczu"
887,"Badania obrazowe"
888,"Badanie krwi"
889,"Badania endoskopowe"
890,"Badania czynnosciowe"
891,"Badanie moczu"
892,"Badanie wzroku"
893,"Badanie moczu"
894,"Badania endoskopowe"
895,"Badanie serca"
896,"Badanie moczu"
897,"Badania endoskopowe"
898,"Badanie ucha"
899,"Badanie krwi"
900,"Badanie serca"
901,"Badania czynnosciowe"
902,"Badanie krwi"
903,"Badanie skory"
904,"Badanie moczu"
905,"Badanie moczu"
906,"Badanie serca"
907,"Badanie ucha"
908,"Badania czynnosciowe"
909,"Badania endoskopowe"
910,"Badania czynnosciowe"
911,"Badanie moczu"
912,"Badanie ucha"
913,"Badanie serca"
914,"Badania obrazowe"
915,"Badania obrazowe"
916,"Badanie skory"
917,"Badanie moczu"
918,"Badania obrazowe"
919,"Badania czynnosciowe"
920,"Badania endoskopowe"
921,"Badania czynnosciowe"
922,"Badanie moczu"
923,"Badanie serca"
924,"Badania obrazowe"
925,"Badania endoskopowe"
926,"Badanie krwi"
927,"Badania obrazowe"
928,"Badanie krwi"
929,"Badanie skory"
930,"Badanie ucha"
931,"Badanie krwi"
932,"Badanie skory"
933,"Badanie ucha"
934,"Badania czynnosciowe"
935,"Badania endoskopowe"
936,"Badanie serca"
937,"Badania endoskopowe"
938,"Badania endoskopowe"
939,"Badania endoskopowe"
940,"Badanie krwi"
941,"Badania czynnosciowe"
942,"Badania obrazowe"
943,"Badania endoskopowe"
944,"Badania czynnosciowe"
945,"Badanie skory"
946,"Badania obrazowe"
947,"Badanie wzroku"
948,"Badanie serca"
949,"Badanie wzroku"
950,"Badanie moczu"
951,"Badanie moczu"
952,"Badanie wzroku"
953,"Badanie ucha"
954,"Badania obrazowe"
955,"Badanie moczu"
956,"Badanie skory"
957,"Badanie serca"
958,"Badanie serca"
959,"Badanie ucha"
960,"Badania endoskopowe"
961,"Badania czynnosciowe"
962,"Badanie wzroku"
963,"Badanie wzroku"
964,"Badania obrazowe"
965,"Badanie wzroku"
966,"Badanie wzroku"
967,"Badania endoskopowe"
968,"Badanie serca"
969,"Badanie serca"
970,"Badania obrazowe"
971,"Badanie serca"
972,"Badanie krwi"
973,"Badanie serca"
974,"Badania obrazowe"
975,"Badania endoskopowe"
976,"Badanie moczu"
977,"Badanie moczu"
978,"Badania endoskopowe"
979,"Badania obrazowe"
980,"Badania obrazowe"
981,"Badanie ucha"
982,"Badanie moczu"
983,"Badania czynnosciowe"
984,"Badanie wzroku"
985,"Badanie ucha"
986,"Badanie wzroku"
987,"Badanie krwi"
988,"Badania endoskopowe"
989,"Badanie wzroku"
990,"Badania czynnosciowe"
991,"Badania obrazowe"
992,"Badanie wzroku"
993,"Badanie ucha"
994,"Badanie ucha"
995,"Badania endoskopowe"
996,"Badania czynnosciowe"
997,"Badanie serca"
998,"Badania obrazowe"
999,"Badanie krwi"
1000,"Badanie moczu"
1,"Badanie serca"
2,"Badanie skory"
3,"Badanie krwi"
4,"Badanie krwi"
5,"Badania obrazowe"
6,"Badanie skory"
7,"Badanie skory"
8,"Badanie krwi"
9,"Badania endoskopowe"
10,"Badania obrazowe"
11,"Badania czynnosciowe"
12,"Badanie serca"
13,"Badanie krwi"
14,"Badanie ucha"
15,"Badanie krwi"
16,"Badania obrazowe"
17,"Badania czynnosciowe"
18,"Badanie moczu"
19,"Badania obrazowe"
20,"Badanie wzroku"
21,"Badanie ucha"
22,"Badanie ucha"
23,"Badanie wzroku"
24,"Badania endoskopowe"
25,"Badania czynnosciowe"
26,"Badanie skory"
27,"Badanie ucha"
28,"Badanie ucha"
29,"Badanie skory"
30,"Badania obrazowe"
31,"Badania obrazowe"
32,"Badanie ucha"
33,"Badanie ucha"
34,"Badania endoskopowe"
35,"Badania czynnosciowe"
36,"Badanie moczu"
37,"Badanie serca"
38,"Badanie skory"
39,"Badanie moczu"
40,"Badanie skory"
41,"Badanie skory"
42,"Badania endoskopowe"
43,"Badanie ucha"
44,"Badanie wzroku"
45,"Badanie wzroku"
46,"Badania obrazowe"
47,"Badanie skory"
48,"Badanie wzroku"
49,"Badanie ucha"
50,"Badanie moczu"
51,"Badania czynnosciowe"
52,"Badania obrazowe"
53,"Badanie serca"
54,"Badanie ucha"
55,"Badanie moczu"
56,"Badanie skory"
57,"Badanie ucha"
58,"Badanie moczu"
59,"Badanie ucha"
60,"Badania obrazowe"
61,"Badanie serca"
62,"Badania czynnosciowe"
63,"Badania obrazowe"
64,"Badania endoskopowe"
65,"Badanie wzroku"
66,"Badania obrazowe"
67,"Badanie wzroku"
68,"Badanie krwi"
69,"Badania czynnosciowe"
70,"Badania obrazowe"
71,"Badanie serca"
72,"Badanie serca"
73,"Badania czynnosciowe"
74,"Badania endoskopowe"
75,"Badanie krwi"
76,"Badanie wzroku"
77,"Badania endoskopowe"
78,"Badanie krwi"
79,"Badanie krwi"
80,"Badanie serca"
81,"Badanie skory"
82,"Badania obrazowe"
83,"Badanie wzroku"
84,"Badanie serca"
85,"Badania endoskopowe"
86,"Badania czynnosciowe"
87,"Badanie moczu"
88,"Badanie wzroku"
89,"Badanie moczu"
90,"Badanie krwi"
91,"Badanie ucha"
92,"Badania obrazowe"
93,"Badanie moczu"
94,"Badania czynnosciowe"
95,"Badania endoskopowe"
96,"Badanie moczu"
97,"Badanie moczu"
98,"Badania endoskopowe"
99,"Badania obrazowe"
100,"Badania obrazowe"
101,"Badania obrazowe"
102,"Badania czynnosciowe"
103,"Badanie moczu"
104,"Badania obrazowe"
105,"Badanie moczu"
106,"Badanie moczu"
107,"Badanie krwi"
108,"Badanie krwi"
109,"Badania endoskopowe"
110,"Badanie serca"
111,"Badanie moczu"
112,"Badanie wzroku"
113,"Badanie krwi"
114,"Badanie moczu"
115,"Badanie moczu"
116,"Badanie skory"
117,"Badanie ucha"
118,"Badanie skory"
119,"Badanie krwi"
120,"Badanie wzroku"
121,"Badanie serca"
122,"Badania czynnosciowe"
123,"Badanie skory"
124,"Badania endoskopowe"
125,"Badanie moczu"
126,"Badanie ucha"
127,"Badania endoskopowe"
128,"Badanie wzroku"
129,"Badanie serca"
130,"Badanie krwi"
131,"Badania endoskopowe"
132,"Badanie wzroku"
133,"Badanie moczu"
134,"Badania endoskopowe"
135,"Badania endoskopowe"
136,"Badanie krwi"
137,"Badania obrazowe"
138,"Badanie ucha"
139,"Badanie serca"
140,"Badanie ucha"
141,"Badanie moczu"
142,"Badania czynnosciowe"
143,"Badanie skory"
144,"Badanie skory"
145,"Badanie ucha"
146,"Badanie serca"
147,"Badania czynnosciowe"
148,"Badanie krwi"
149,"Badania obrazowe"
150,"Badanie ucha"
151,"Badanie ucha"
152,"Badania endoskopowe"
153,"Badania obrazowe"
154,"Badanie wzroku"
155,"Badanie ucha"
156,"Badania endoskopowe"
157,"Badanie skory"
158,"Badanie wzroku"
159,"Badanie serca"
160,"Badanie wzroku"
161,"Badanie ucha"
162,"Badanie moczu"
163,"Badanie ucha"
164,"Badanie moczu"
165,"Badania endoskopowe"
166,"Badanie skory"
167,"Badanie wzroku"
168,"Badanie ucha"
169,"Badanie wzroku"
170,"Badanie krwi"
171,"Badanie ucha"
172,"Badanie moczu"
173,"Badanie skory"
174,"Badania obrazowe"
175,"Badanie skory"
176,"Badanie krwi"
177,"Badania endoskopowe"
178,"Badanie serca"
179,"Badanie wzroku"
180,"Badanie wzroku"
181,"Badanie wzroku"
182,"Badanie wzroku"
183,"Badania czynnosciowe"
184,"Badanie ucha"
185,"Badanie moczu"
186,"Badanie wzroku"
187,"Badanie moczu"
188,"Badanie krwi"
189,"Badania endoskopowe"
190,"Badanie moczu"
191,"Badanie serca"
192,"Badania czynnosciowe"
193,"Badanie ucha"
194,"Badanie wzroku"
195,"Badanie wzroku"
196,"Badanie wzroku"
197,"Badania obrazowe"
198,"Badania czynnosciowe"
199,"Badania obrazowe"
200,"Badanie krwi"
201,"Badanie serca"
202,"Badanie moczu"
203,"Badanie moczu"
204,"Badania czynnosciowe"
205,"Badanie skory"
206,"Badanie moczu"
207,"Badanie serca"
208,"Badanie moczu"
209,"Badanie ucha"
210,"Badanie moczu"
211,"Badania czynnosciowe"
212,"Badania endoskopowe"
213,"Badanie wzroku"
214,"Badanie wzroku"
215,"Badania obrazowe"
216,"Badanie krwi"
217,"Badanie wzroku"
218,"Badania endoskopowe"
219,"Badanie ucha"
220,"Badania czynnosciowe"
221,"Badania endoskopowe"
222,"Badanie ucha"
223,"Badanie skory"
224,"Badanie skory"
225,"Badania czynnosciowe"
226,"Badanie wzroku"
227,"Badanie serca"
228,"Badania endoskopowe"
229,"Badanie krwi"
230,"Badanie wzroku"
231,"Badania obrazowe"
232,"Badanie serca"
233,"Badania endoskopowe"
234,"Badania endoskopowe"
235,"Badanie ucha"
236,"Badania czynnosciowe"
237,"Badanie skory"
238,"Badania czynnosciowe"
239,"Badanie serca"
240,"Badanie moczu"
241,"Badanie ucha"
242,"Badanie wzroku"
243,"Badanie krwi"
244,"Badanie ucha"
245,"Badania obrazowe"
246,"Badanie ucha"
247,"Badanie ucha"
248,"Badanie ucha"
249,"Badanie serca"
250,"Badanie moczu"
251,"Badanie ucha"
252,"Badanie wzroku"
253,"Badanie krwi"
254,"Badania obrazowe"
255,"Badanie serca"
256,"Badanie wzroku"
257,"Badanie moczu"
258,"Badanie ucha"
259,"Badanie skory"
260,"Badania czynnosciowe"
261,"Badania obrazowe"
262,"Badanie skory"
263,"Badania czynnosciowe"
264,"Badania czynnosciowe"
265,"Badania czynnosciowe"
266,"Badanie ucha"
267,"Badanie krwi"
268,"Badanie krwi"
269,"Badania endoskopowe"
270,"Badanie skory"
271,"Badania obrazowe"
272,"Badania endoskopowe"
273,"Badania obrazowe"
274,"Badania obrazowe"
275,"Badanie wzroku"
276,"Badania czynnosciowe"
277,"Badanie skory"
278,"Badanie krwi"
279,"Badanie serca"
280,"Badanie skory"
281,"Badanie krwi"
282,"Badanie krwi"
283,"Badania obrazowe"
284,"Badania czynnosciowe"
285,"Badanie wzroku"
286,"Badanie krwi"
287,"Badania endoskopowe"
288,"Badanie ucha"
289,"Badanie serca"
290,"Badania obrazowe"
291,"Badanie ucha"
292,"Badania endoskopowe"
293,"Badanie moczu"
294,"Badanie ucha"
295,"Badanie wzroku"
296,"Badania czynnosciowe"
297,"Badania endoskopowe"
298,"Badanie moczu"
299,"Badania obrazowe"
300,"Badanie krwi"
301,"Badanie serca"
302,"Badanie krwi"
303,"Badanie serca"
304,"Badania obrazowe"
305,"Badanie serca"
306,"Badania czynnosciowe"
307,"Badanie krwi"
308,"Badania endoskopowe"
309,"Badania obrazowe"
310,"Badanie serca"
311,"Badanie ucha"
312,"Badanie ucha"
313,"Badanie skory"
314,"Badanie ucha"
315,"Badania obrazowe"
316,"Badania obrazowe"
317,"Badanie skory"
318,"Badanie wzroku"
319,"Badanie krwi"
320,"Badanie serca"
321,"Badania obrazowe"
322,"Badanie moczu"
323,"Badanie ucha"
324,"Badanie wzroku"
325,"Badanie ucha"
326,"Badania endoskopowe"
327,"Badanie krwi"
328,"Badania endoskopowe"
329,"Badanie serca"
330,"Badania endoskopowe"
331,"Badania obrazowe"
332,"Badanie serca"
333,"Badanie wzroku"
334,"Badanie moczu"
335,"Badanie krwi"
336,"Badanie skory"
337,"Badania obrazowe"
338,"Badania czynnosciowe"
339,"Badanie skory"
340,"Badanie moczu"
341,"Badania obrazowe"
342,"Badanie moczu"
343,"Badanie krwi"
344,"Badanie krwi"
345,"Badania czynnosciowe"
346,"Badanie serca"
347,"Badanie wzroku"
348,"Badanie krwi"
349,"Badanie ucha"
350,"Badanie wzroku"
351,"Badanie moczu"
352,"Badania endoskopowe"
353,"Badania obrazowe"
354,"Badanie krwi"
355,"Badania czynnosciowe"
356,"Badania czynnosciowe"
357,"Badanie serca"
358,"Badanie skory"
359,"Badanie krwi"
360,"Badanie wzroku"
361,"Badanie serca"
362,"Badanie moczu"
363,"Badania czynnosciowe"
364,"Badanie skory"
365,"Badania endoskopowe"
366,"Badanie wzroku"
367,"Badanie moczu"
368,"Badanie moczu"
369,"Badanie serca"
370,"Badania czynnosciowe"
371,"Badanie serca"
372,"Badanie krwi"
373,"Badanie serca"
374,"Badania endoskopowe"
375,"Badanie serca"
376,"Badania endoskopowe"
377,"Badanie serca"
378,"Badanie skory"
379,"Badanie krwi"
380,"Badanie serca"
381,"Badanie krwi"
382,"Badanie ucha"
383,"Badanie wzroku"
384,"Badanie ucha"
385,"Badania endoskopowe"
386,"Badania endoskopowe"
387,"Badanie skory"
388,"Badanie moczu"
389,"Badanie moczu"
390,"Badanie moczu"
391,"Badania czynnosciowe"
392,"Badanie moczu"
393,"Badanie moczu"
394,"Badanie serca"
395,"Badanie moczu"
396,"Badania czynnosciowe"
397,"Badania czynnosciowe"
398,"Badanie skory"
399,"Badanie krwi"
400,"Badanie moczu"
401,"Badanie ucha"
402,"Badanie skory"
403,"Badanie moczu"
404,"Badanie skory"
405,"Badanie skory"
406,"Badanie serca"
407,"Badanie wzroku"
408,"Badanie moczu"
409,"Badanie wzroku"
410,"Badanie ucha"
411,"Badanie krwi"
412,"Badanie ucha"
413,"Badania obrazowe"
414,"Badanie skory"
415,"Badania czynnosciowe"
416,"Badanie wzroku"
417,"Badanie serca"
418,"Badanie moczu"
419,"Badanie ucha"
420,"Badanie ucha"
421,"Badanie ucha"
422,"Badania obrazowe"
423,"Badania endoskopowe"
424,"Badanie krwi"
425,"Badanie krwi"
426,"Badania endoskopowe"
427,"Badanie ucha"
428,"Badanie wzroku"
429,"Badanie ucha"
430,"Badanie moczu"
431,"Badanie ucha"
432,"Badanie moczu"
433,"Badania obrazowe"
434,"Badanie serca"
435,"Badania obrazowe"
436,"Badania czynnosciowe"
437,"Badanie wzroku"
438,"Badania obrazowe"
439,"Badania endoskopowe"
440,"Badanie skory"
441,"Badanie serca"
442,"Badanie krwi"
443,"Badanie wzroku"
444,"Badanie serca"
445,"Badania czynnosciowe"
446,"Badania endoskopowe"
447,"Badanie krwi"
448,"Badanie skory"
449,"Badanie ucha"
450,"Badanie ucha"
451,"Badanie moczu"
452,"Badanie serca"
453,"Badania czynnosciowe"
454,"Badanie moczu"
455,"Badanie skory"
456,"Badania obrazowe"
457,"Badanie krwi"
458,"Badanie serca"
459,"Badanie krwi"
460,"Badania endoskopowe"
461,"Badanie moczu"
462,"Badania endoskopowe"
463,"Badanie krwi"
464,"Badanie skory"
465,"Badanie serca"
466,"Badanie serca"
467,"Badanie wzroku"
468,"Badanie ucha"
469,"Badanie wzroku"
470,"Badania czynnosciowe"
471,"Badania endoskopowe"
472,"Badania czynnosciowe"
473,"Badanie ucha"
474,"Badanie ucha"
475,"Badanie moczu"
476,"Badanie wzroku"
477,"Badania endoskopowe"
478,"Badanie krwi"
479,"Badanie skory"
480,"Badanie skory"
481,"Badanie serca"
482,"Badanie skory"
483,"Badanie wzroku"
484,"Badanie skory"
485,"Badanie skory"
486,"Badanie ucha"
487,"Badanie skory"
488,"Badanie ucha"
489,"Badanie wzroku"
490,"Badanie wzroku"
491,"Badanie krwi"
492,"Badanie ucha"
493,"Badanie wzroku"
494,"Badanie moczu"
495,"Badanie ucha"
496,"Badanie ucha"
497,"Badania obrazowe"
498,"Badanie ucha"
499,"Badanie serca"
500,"Badania czynnosciowe"
501,"Badanie ucha"
502,"Badanie serca"
503,"Badanie wzroku"
504,"Badanie skory"
505,"Badanie serca"
506,"Badanie skory"
507,"Badania endoskopowe"
508,"Badania obrazowe"
509,"Badanie skory"
510,"Badanie moczu"
511,"Badanie krwi"
512,"Badanie skory"
513,"Badanie moczu"
514,"Badanie ucha"

1 000 rows selected. 

